file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9759631156921387,homme,0.9653491377830505,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9317708611488342,homme,0.921259343624115,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9749763607978821,homme,0.9662889838218689,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9998801946640015,homme,0.9991592168807983,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.654079020023346,homme,0.5822287201881409,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9884420037269592,homme,0.9847974181175232,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9767122864723206,homme,0.888363778591156,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5338053107261658,femme,0.6640785336494446,True,True,False,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9902312159538269,homme,0.9804938435554504,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9906134605407715,homme,0.9771982431411743,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BERNARD)(Tristan)(l_affaire Larcier)(1)(1907)(1866)(1947)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9872892498970032,homme,0.9839045405387878,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BINET)(Laurent)(la septième fonction du langage)(1)(2015)(1972)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.6548365950584412,homme,0.6548365950584412,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(BOSCO)(Henri)(sylvius)(1)(1948)(1888)(1976)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.953819215297699,homme,0.942423939704895,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BOUDARD)(Alphonse)(le corbillard de jules)(1)(1979)(1925)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9922797679901123,homme,0.992240309715271,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BOULENGER)(Marcel)(Au pays de Sylvie)(1)(1904)(1873)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9834890365600586,homme,0.9748649001121521,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BOULENGER)(Marcel)(Lettres de Chantilly)(1)(1907)(1873)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9740332365036011,homme,0.9666461944580078,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(BRUSSOLO)(Serge)(le pique nique du crocodile)(1)(1995)(1951)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.8630152940750122,homme,0.7384677529335022,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(CARMINATI)(Jean-Paul)(la concordance des dents)(1)(2001)(1965)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.6551203727722168,homme,0.6501446962356567,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(CAVANNA)(François)(les aventures du petit jesus)(1)(1982)(1923)(2014)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5638045072555542,femme,0.5708441734313965,True,True,False,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(CHADOURNE)(Louis)(Terre de Chanaan)(1)(1921)(1890)(1925)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9978538155555725,homme,0.9968098998069763,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(CIRIEZ)(Frédéric)(des néons sous la mer)(1)(2008)(1971)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.6944254636764526,homme,0.6911588907241821,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(COHEN)(Albert)(solal)(1)(1930)(1895)(1981)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9757113456726074,homme,0.9695841073989868,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DAENINCKX)(Didier)(le der des ders)(1)(1984)(1949)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9763152599334717,homme,0.9708666205406189,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(au suivant de ces messieurs)(1)(1957)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9492601156234741,homme,0.9492601156234741,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(bons baisers où tu sais)(1)(1987)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9884979128837585,homme,0.9879734516143799,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(de a jusqu_à z)(1)(1961)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.948930561542511,homme,0.948930561542511,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(fais moi des choses)(1)(1978)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9658486247062683,homme,0.9646706581115723,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(faut il vous l_envelopper)(1)(1969)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9744266271591187,homme,0.9744266271591187,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(j_ai bien l_honneur de vous buter)(1)(1955)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9658700823783875,homme,0.9655910730361938,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(ménage tes méninges)(1)(1962)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.972652792930603,homme,0.9725216627120972,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(pleins feux sur le tutu)(1)(1984)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9848577976226807,homme,0.9841874837875366,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DARD)(Frédéric)(tout le plaisir est pour moi)(1)(1959)(1921)(2000)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9768252372741699,homme,0.9768252372741699,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(DE HALDAT)(Stanislas)(le secret sauvage)(1)(1999)(1962)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9705697298049927,homme,0.969286322593689,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DE MONTESQUIOU-FEZENSAC)(Robert)(la trépidation)(1)(1921)(1855)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.8026704788208008,homme,0.7092053294181824,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DE POURTALES)(Guy)(la pêche miraculeuse tome 2)(1)(1937)(1881)(1941)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9946486353874207,homme,0.9877306818962097,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DE SOUZA)(Carl)(ceux qu_on jette à la mer)(1)(2001)(1949)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.8023714423179626,homme,0.8023714423179626,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(DENUZIERE)(Maurice)(le pont de buena vista)(1)(2003)(1926)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9663631319999695,homme,0.9589583277702332,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(DUBOIS)(Jean-Paul)(si ce livre pouvait me rapprocher de toi)(1)(1999)(1950)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9351944327354431,homme,0.9198460578918457,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(EXBRAYAT)(Charles)(des demoiselles imprudentes)(1)(1961)(1906)(1989)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9512072205543518,homme,0.9474529027938843,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(EXBRAYAT)(Charles)(les filles de folignazzaro)(1)(1963)(1906)(1989)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9928929209709167,homme,0.9922398328781128,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(EXBRAYAT)(Charles)(marie de nos vingt ans)(1)(1975)(1906)(1989)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9209661483764648,homme,0.9160575270652771,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(EXBRAYAT)(Charles)(mefie toi gone)(1)(1961)(1906)(1989)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9932314157485962,homme,0.992363452911377,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(FALLET)(René)(charleston)(1)(1967)(1927)(1983)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.8558194041252136,homme,0.7585422396659851,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(FALLET)(René)(pigalle)(1)(1949)(1927)(1983)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9765841960906982,homme,0.9724195003509521,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(FERRARI)(Jérôme)(le principe)(1)(2015)(1968)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.522983968257904,homme,0.522983968257904,False,True,True,[],swap,intersection
data\datasetSujet3\content\dataset\test\(GALOPIN)(Arnould)(le bacille)(1)(1928)(1863)(1934)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9970152378082275,homme,0.9941714406013489,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(GARY)(Romain)(lady l.)(1)(1958)(1914)(1980)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.8727472424507141,homme,0.8392090797424316,False,True,True,"[""fit""]",swap,intersection
data\datasetSujet3\content\dataset\test\(GENEFORT)(Laurent)(la mécanique du talion)(1)(2003)(1968)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9335882663726807,homme,0.9035691618919373,False,True,True,"[""fit""]",swap,intersection
