file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9759631156921387,homme,0.9667730927467346,False,True,True,"[""françois"", ""fit"", ""docteur"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla""]",swap,lrp
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9317708611488342,homme,0.9231727719306946,False,True,True,"[""fit"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla""]",swap,lrp
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9749763607978821,homme,0.968511700630188,False,True,True,"[""fit"", ""répondit"", ""maire"", ""reprit"", ""ouvrit"", ""fallut""]",swap,lrp
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9998801946640015,homme,0.9995755553245544,False,True,True,"[""françois"", ""fit"", ""andré"", ""fabre"", ""docteur"", ""répondit"", ""maire"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",swap,lrp
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.654079020023346,homme,0.6167478561401367,False,True,True,"[""françois"", ""fit"", ""docteur"", ""répondit"", ""maire"", ""zola"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",swap,lrp
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9884420037269592,homme,0.9853883385658264,False,True,True,"[""fit"", ""docteur"", ""répondit"", ""julius"", ""reprit"", ""ouvrit"", ""fallut""]",swap,lrp
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9767122864723206,homme,0.9071440696716309,False,True,True,"[""françois"", ""fit"", ""andré"", ""docteur"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",swap,lrp
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5338053107261658,femme,0.6466251015663147,True,True,False,"[""guillaume"", ""fit"", ""alice"", ""docteur"", ""répondit"", ""mister"", ""marie"", ""reprit"", ""ouvrit"", ""souffla""]",swap,lrp
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9902312159538269,homme,0.8911299109458923,False,True,True,"[""françois"", ""fit"", ""andré"", ""brebis"", ""alice"", ""docteur"", ""répondit"", ""maire"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",swap,lrp
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9906134605407715,homme,0.9792640805244446,False,True,True,"[""françois"", ""fit"", ""brebis"", ""docteur"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",swap,lrp
