file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9977686405181885,homme,0.9956936836242676,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""jules"", ""francs"", ""fût"", ""cents"", ""type"", ""abbé"", ""parut"", ""revolver""]",remove,ig
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9656177163124084,homme,0.9370778799057007,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""francs"", ""cents"", ""capitaine"", ""type"", ""jadis"", ""abbé"", ""parut"", ""revolver""]",remove,ig
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9273899793624878,homme,0.9002521634101868,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""chapitre"", ""francs"", ""fût"", ""capitaine"", ""voici"", ""type"", ""jadis"", ""abbé"", ""parut""]",remove,ig
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9999876022338867,homme,0.9999750852584839,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""chapitre"", ""francs"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""type"", ""jadis"", ""abbé"", ""parut"", ""revolver""]",remove,ig
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.7945771217346191,homme,0.7295529246330261,False,True,True,"[""fit"", ""eut"", ""mètres"", ""police"", ""jules"", ""francs"", ""fût"", ""cents"", ""type"", ""jadis"", ""parut"", ""revolver""]",remove,ig
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9991771578788757,homme,0.9990329742431641,False,True,True,"[""fit"", ""eut"", ""mètres"", ""police"", ""chapitre"", ""fût"", ""cents"", ""voici"", ""type"", ""jadis"", ""parut""]",remove,ig
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.953819215297699,homme,0.7932375073432922,False,True,True,"[""eût"", ""fit"", ""eut"", ""police"", ""chapitre"", ""jules"", ""fût"", ""voici"", ""type"", ""jadis"", ""parut"", ""revolver""]",remove,ig
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5776278972625732,femme,0.5914824604988098,True,True,False,"[""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""type"", ""parut"", ""revolver""]",remove,ig
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9996695518493652,homme,0.9992936849594116,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""chapitre"", ""francs"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""jadis"", ""abbé"", ""parut""]",remove,ig
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9987577199935913,homme,0.9938852190971375,False,True,True,"[""eût"", ""fit"", ""eut"", ""mètres"", ""chapitre"", ""jules"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""jadis"", ""abbé"", ""parut""]",remove,ig
data\datasetSujet3\content\dataset\test\(BERNARD)(Tristan)(l_affaire Larcier)(1)(1907)(1866)(1947)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9998891353607178,homme,0.9994599223136902,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""francs"", ""fût"", ""cents"", ""capitaine"", ""type"", ""jadis"", ""parut""]",remove,ig
