file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9977686405181885,homme,0.998115062713623,False,True,True,"[""madame"", ""chevalier"", ""sire"", ""murmura"", ""abbé"", ""sors"", ""st""]",remove,lrp
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9656177163124084,homme,0.9683755040168762,False,True,True,"[""madame"", ""moine"", ""sire"", ""murmura"", ""abbé"", ""sors""]",remove,lrp
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9273899793624878,homme,0.9336613416671753,False,True,True,"[""madame"", ""chevalier"", ""reine"", ""murmura"", ""abbé"", ""sors""]",remove,lrp
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9999876022338867,homme,0.9999876022338867,False,True,True,"[""madame"", ""chevalier"", ""reine"", ""firmin"", ""sire"", ""murmura"", ""mirabeau"", ""abbé"", ""sors""]",remove,lrp
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.7945771217346191,homme,0.7989027500152588,False,True,True,"[""madame"", ""kurt"", ""reine"", ""murmura"", ""sors""]",remove,lrp
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9991771578788757,homme,0.9991763234138489,False,True,True,"[""murmura""]",remove,lrp
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.953819215297699,homme,0.9566344618797302,False,True,True,"[""madame"", ""reine"", ""moine"", ""sire"", ""murmura""]",remove,lrp
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5776278972625732,homme,0.5950784683227539,False,True,True,"[""chevalier"", ""reine"", ""murmura"", ""sors""]",remove,lrp
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9996695518493652,homme,0.9996823072433472,False,True,True,"[""madame"", ""reine"", ""murmura"", ""abbé"", ""sors""]",remove,lrp
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9987577199935913,homme,0.9987550973892212,False,True,True,"[""hildegarde"", ""madame"", ""reine"", ""murmura"", ""abbé"", ""sors""]",remove,lrp
