file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9977686405181885,homme,0.9789745807647705,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""jules"", ""francs"", ""fût"", ""cents"", ""type"", ""abbé"", ""parut"", ""revolver""]",swap,ig
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9656177163124084,homme,0.8253128528594971,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""francs"", ""cents"", ""capitaine"", ""type"", ""jadis"", ""abbé"", ""parut"", ""revolver""]",swap,ig
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9273899793624878,homme,0.7899530529975891,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""chapitre"", ""francs"", ""fût"", ""capitaine"", ""voici"", ""type"", ""jadis"", ""abbé"", ""parut""]",swap,ig
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9999876022338867,homme,0.9974486231803894,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""chapitre"", ""francs"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""type"", ""jadis"", ""abbé"", ""parut"", ""revolver""]",swap,ig
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.7945771217346191,homme,0.5447485446929932,False,True,True,"[""fit"", ""eut"", ""mètres"", ""police"", ""jules"", ""francs"", ""fût"", ""cents"", ""type"", ""jadis"", ""parut"", ""revolver""]",swap,ig
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9991771578788757,homme,0.9984215497970581,False,True,True,"[""fit"", ""eut"", ""mètres"", ""police"", ""chapitre"", ""fût"", ""cents"", ""voici"", ""type"", ""jadis"", ""parut""]",swap,ig
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.953819215297699,femme,0.9229309558868408,True,True,False,"[""eût"", ""fit"", ""eut"", ""police"", ""chapitre"", ""jules"", ""fût"", ""voici"", ""type"", ""jadis"", ""parut"", ""revolver""]",swap,ig
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5776278972625732,femme,0.8815025091171265,True,True,False,"[""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""type"", ""parut"", ""revolver""]",swap,ig
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9996695518493652,homme,0.9931527376174927,False,True,True,"[""eût"", ""fit"", ""eut"", ""commissaire"", ""mètres"", ""police"", ""chapitre"", ""francs"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""jadis"", ""abbé"", ""parut""]",swap,ig
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9987577199935913,homme,0.5598515272140503,False,True,True,"[""eût"", ""fit"", ""eut"", ""mètres"", ""chapitre"", ""jules"", ""fût"", ""cents"", ""capitaine"", ""voici"", ""jadis"", ""abbé"", ""parut""]",swap,ig
