file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9759631156921387,homme,0.9750290513038635,False,True,True,"[""françois"", ""fit"", ""docteur"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla""]",mask,lrp
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9317708611488342,homme,0.929815411567688,False,True,True,"[""fit"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla""]",mask,lrp
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9749763607978821,homme,0.9731335639953613,False,True,True,"[""fit"", ""répondit"", ""maire"", ""reprit"", ""ouvrit"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9998801946640015,homme,0.9998823404312134,False,True,True,"[""françois"", ""fit"", ""andré"", ""fabre"", ""docteur"", ""répondit"", ""maire"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.654079020023346,homme,0.6446043848991394,False,True,True,"[""françois"", ""fit"", ""docteur"", ""répondit"", ""maire"", ""zola"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9884420037269592,homme,0.9875410199165344,False,True,True,"[""fit"", ""docteur"", ""répondit"", ""julius"", ""reprit"", ""ouvrit"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9767122864723206,homme,0.9742236137390137,False,True,True,"[""françois"", ""fit"", ""andré"", ""docteur"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5338053107261658,homme,0.5499647259712219,False,True,True,"[""guillaume"", ""fit"", ""alice"", ""docteur"", ""répondit"", ""mister"", ""marie"", ""reprit"", ""ouvrit"", ""souffla""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9902312159538269,homme,0.9971438050270081,False,True,True,"[""françois"", ""fit"", ""andré"", ""brebis"", ""alice"", ""docteur"", ""répondit"", ""maire"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9906134605407715,homme,0.9887561202049255,False,True,True,"[""françois"", ""fit"", ""brebis"", ""docteur"", ""répondit"", ""marie"", ""reprit"", ""ouvrit"", ""souffla"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BERNARD)(Tristan)(l_affaire Larcier)(1)(1907)(1866)(1947)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9872892498970032,homme,0.9861900806427002,False,True,True,"[""fit"", ""répondit"", ""reprit"", ""ouvrit"", ""fallut""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BINET)(Laurent)(la septième fonction du langage)(1)(2015)(1972)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.6548365950584412,homme,0.6562976837158203,False,True,True,"[""françois"", ""andré"", ""brebis"", ""alice"", ""docteur"", ""maire"", ""geneviève"", ""marie"", ""zola""]",mask,lrp
data\datasetSujet3\content\dataset\test\(BOSCO)(Henri)(sylvius)(1)(1948)(1888)(1976)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.953819215297699,homme,0.951357901096344,False,True,True,"[""fit"", ""docteur"", ""répondit"", ""maire"", ""reprit"", ""ouvrit"", ""souffla""]",mask,lrp
