file_path,true_label,original_prediction,original_confidence,perturbed_prediction,perturbed_confidence,prediction_changed,correct_before,correct_after,removed_or_replaced_terms,perturbation_mode,explanation_method
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(juste un rigolo)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9759631156921387,homme,0.9695044159889221,False,True,True,"[""eut"", ""fit"", ""eût"", ""mètres"", ""fût"", ""francs"", ""mme"", ""jules"", ""cents"", ""commissaire"", ""paraissait"", ""prit"", ""parut"", ""abbé""]",mask,ig
data\datasetSujet3\content\dataset\test\(A.D.G.)(0)(le grand môme)(1)(1977)(1947)(2004)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9317708611488342,homme,0.9142705798149109,False,True,True,"[""eut"", ""fit"", ""eût"", ""mètres"", ""francs"", ""cents"", ""jadis"", ""commissaire"", ""paraissait"", ""prit"", ""anglais"", ""parut"", ""abbé""]",mask,ig
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(arlette des Mayons)(1)(1917)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9749763607978821,homme,0.967387318611145,False,True,True,"[""eut"", ""fit"", ""eût"", ""mètres"", ""chapitre"", ""fût"", ""francs"", ""jadis"", ""commissaire"", ""paraissait"", ""prit"", ""put"", ""anglais"", ""parut"", ""abbé""]",mask,ig
data\datasetSujet3\content\dataset\test\(AICARD)(Jean)(l_illustre maurin)(1)(1900)(1848)(1921)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9998801946640015,homme,0.9997283816337585,False,True,True,"[""eut"", ""fit"", ""eût"", ""mètres"", ""chapitre"", ""fût"", ""francs"", ""mme"", ""cents"", ""jadis"", ""commissaire"", ""paraissait"", ""prit"", ""put"", ""parut"", ""abbé""]",mask,ig
data\datasetSujet3\content\dataset\test\(ALEXANDRE - ANGEVIN)(Laurent - David)(google démocratie)(1)(2011)(0)(0)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.654079020023346,homme,0.5903262495994568,False,True,True,"[""eut"", ""fit"", ""mètres"", ""fût"", ""francs"", ""mme"", ""jules"", ""cents"", ""jadis"", ""prit"", ""put"", ""anglais"", ""parut""]",mask,ig
data\datasetSujet3\content\dataset\test\(ARNAUD)(G.J.)(soleil blême)(1)(1989)(1928)(2020)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9884420037269592,homme,0.9826682209968567,False,True,True,"[""eut"", ""fit"", ""mètres"", ""chapitre"", ""fût"", ""cents"", ""jadis"", ""paraissait"", ""prit"", ""put"", ""anglais"", ""parut""]",mask,ig
data\datasetSujet3\content\dataset\test\(BAILLON)(André)(zonzon pépette fille de londres)(1)(1923)(1875)(1932)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9767122864723206,homme,0.9431957006454468,False,True,True,"[""eut"", ""fit"", ""eût"", ""chapitre"", ""fût"", ""jules"", ""jadis"", ""prit"", ""put"", ""anglais"", ""parut""]",mask,ig
data\datasetSujet3\content\dataset\test\(BARBÉRI)(Jacques)(le crépuscule des chimères)(1)(2002)(1954)(v)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.5338053107261658,femme,0.7195641398429871,True,True,False,"[""eut"", ""fit"", ""mètres"", ""fût"", ""cents"", ""commissaire"", ""paraissait"", ""prit"", ""put"", ""parut""]",mask,ig
data\datasetSujet3\content\dataset\test\(BARJAVEL)(René)(ravage)(1)(1943)(1911)(1985)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9902312159538269,homme,0.9829235672950745,False,True,True,"[""eut"", ""fit"", ""eût"", ""mètres"", ""chapitre"", ""fût"", ""francs"", ""mme"", ""cents"", ""jadis"", ""commissaire"", ""paraissait"", ""prit"", ""put"", ""parut"", ""abbé""]",mask,ig
data\datasetSujet3\content\dataset\test\(BERNANOS)(Georges)(sous le soleil de satan)(1)(1926)(1888)(1948)(fr)(z)(z)(V)(R)(T).txt,homme,homme,0.9906134605407715,homme,0.9787840247154236,False,True,True,"[""eut"", ""fit"", ""eût"", ""mètres"", ""chapitre"", ""fût"", ""mme"", ""jules"", ""cents"", ""jadis"", ""paraissait"", ""prit"", ""put"", ""parut"", ""abbé""]",mask,ig
